,prices,address,links,beds,baths,sq_feet
37,4950000.0, 1704 Lakeshore Dr Austin TX 78746 ,https://www.zillow.com/homedetails/1704-Lakeshore-Dr-Austin-TX-78746/29336281_zpid/,3,3,1537
38,355000.0, 4717 Valcour Bay Ln Austin TX 78754 ,https://www.zillow.com/homedetails/4717-Valcour-Bay-Ln-Austin-TX-78754/70338438_zpid/,3,2,1248
39,75000.0, 3903 Lower Dr Austin TX 78725 ,https://www.zillow.com/homedetails/3903-Lower-Dr-Austin-TX-78725/2071952301_zpid/,4,3,1841
40,465000.0, 4526 Corran Ferry Loop Austin TX 78749 ,https://www.zillow.com/homedetails/4526-Corran-Ferry-Loop-Austin-TX-78749/29499644_zpid/,2,2,967
41,469900.0, 2109 Carlson Dr #61C Austin TX 78741 ,https://www.zillow.com/homedetails/2109-Carlson-Dr-61C-Austin-TX-78741/121658503_zpid/,4,3,2763
42,345000.0, 8433 Twiggy Ln Austin TX 78747 ,https://www.zillow.com/homedetails/8433-Twiggy-Ln-Austin-TX-78747/89551060_zpid/,3,3,1896
43,799995.0, 10921 Bidens Pl Austin TX 78733 ,https://www.zillow.com/homedetails/10921-Bidens-Pl-Austin-TX-78733/83824691_zpid/,4,2,1461
44,585000.0, 4709 Tello Path Austin TX 78749 ,https://www.zillow.com/homedetails/4709-Tello-Path-Austin-TX-78749/58187221_zpid/,3,2,1440
45,465000.0, 1111 Neans Dr Austin TX 78758 ,https://www.zillow.com/homedetails/1111-Neans-Dr-Austin-TX-78758/121656519_zpid/,3,2,1116
46,279000.0, 10819 Crown Colony Dr APT 31 Austin TX 78747 ,https://www.zillow.com/homedetails/10819-Crown-Colony-Dr-APT-31-Austin-TX-78747/29515876_zpid/,3,3,1537
47,1200000.0, 4208 Bamford Dr Austin TX 78731 ,https://www.zillow.com/homedetails/4208-Bamford-Dr-Austin-TX-78731/29356576_zpid/,3,2,1248
48,362990.0, The Midland Plan Tiermo ,https://www.zillow.com/community/tiermo/2078783150_zpid/,4,3,1841
49,349000.0, 8604 Clarewood Cir Austin TX 78758 ,https://www.zillow.com/homedetails/8604-Clarewood-Cir-Austin-TX-78758/29425280_zpid/,2,2,967
50,290000.0, 12717 Marimba Trl Austin TX 78729 ,https://www.zillow.com/homedetails/12717-Marimba-Trl-Austin-TX-78729/29547479_zpid/,4,3,2763
51,449900.0, 8922 Menchaca Rd UNIT 906 Austin TX 78748 ,https://www.zillow.com/homedetails/8922-Menchaca-Rd-UNIT-906-Austin-TX-78748/305434052_zpid/,3,3,1896
52,2850000.0, 7005 Mesa Dr Austin TX 78731 ,https://www.zillow.com/homedetails/7005-Mesa-Dr-Austin-TX-78731/29351638_zpid/,4,2,1461
